group,port,pin,direction,vccio,standard,drive,clock_period,mode,description,manual_table
clock_50m,clk_50m,P20,Input,3.3,LVCMOS33,,20,gpio,50MHz system clock,Table 2-3
clock_27m,clk_27m,K21,Input,3.3,LVCMOS33,,37.037,gpio,27MHz system clock,Table 2-3
keys,user_key[0],K18,Input,3.3,LVCMOS33,,,gpio,KEY1 active low,Table 2-26
keys,user_key[1],L15,Input,3.3,LVCMOS33,,,gpio,KEY2 active low,Table 2-26
keys,user_key[2],J17,Input,3.3,LVCMOS33,,,gpio,KEY3 active low,Table 2-26
keys,user_key[3],K16,Input,3.3,LVCMOS33,,,gpio,KEY4 active low,Table 2-26
keys,user_key[4],J16,Input,3.3,LVCMOS33,,,gpio,KEY5 active low,Table 2-26
keys,user_key[5],J19,Input,3.3,LVCMOS33,,,gpio,KEY6 active low,Table 2-26
keys,user_key[6],H20,Input,3.3,LVCMOS33,,,gpio,KEY7 active low,Table 2-26
keys,user_key[7],H17,Input,3.3,LVCMOS33,,,gpio,KEY8 active low,Table 2-26
leds,user_led[0],B2,Output,3.3,LVCMOS33,8,,gpio,LED1 active high,Table 2-27
leds,user_led[1],A2,Output,3.3,LVCMOS33,8,,gpio,LED2 active high,Table 2-27
leds,user_led[2],B3,Output,3.3,LVCMOS33,8,,gpio,LED3 active high,Table 2-27
leds,user_led[3],A3,Output,3.3,LVCMOS33,8,,gpio,LED4 active high,Table 2-27
leds,user_led[4],C5,Output,3.3,LVCMOS33,8,,gpio,LED5 active high,Table 2-27
leds,user_led[5],A5,Output,3.3,LVCMOS33,8,,gpio,LED6 active high,Table 2-27
leds,user_led[6],F7,Output,3.3,LVCMOS33,8,,gpio,LED7 active high,Table 2-27
leds,user_led[7],F8,Output,3.3,LVCMOS33,8,,gpio,LED8 active high,Table 2-27
uart0,uart0_tx,R9,Output,3.3,LVCMOS33,8,,gpio,USB UART transmit,Table 2-18
uart0,uart0_rx,R8,Input,3.3,LVCMOS33,,,gpio,USB UART receive,Table 2-18
eeprom,eeprom_scl,F15,Output,3.3,LVCMOS33,8,,gpio,24LC02 I2C clock,Table 2-28
eeprom,eeprom_sda,G8,Inout,3.3,LVCMOS33,,,gpio,24LC02 I2C data,Table 2-28
sdcard,sd_clk,C4,Output,3.3,LVCMOS33,8,,gpio,MicroSD clock,Table 2-23
sdcard,sd_cmd,A4,Inout,3.3,LVCMOS33,,,gpio,MicroSD command,Table 2-23
sdcard,sd_data[0],D5,Inout,3.3,LVCMOS33,,,gpio,MicroSD data0,Table 2-23
sdcard,sd_data[1],D4,Inout,3.3,LVCMOS33,,,gpio,MicroSD data1,Table 2-23
sdcard,sd_data[2],E6,Inout,3.3,LVCMOS33,,,gpio,MicroSD data2,Table 2-23
sdcard,sd_data[3],E5,Inout,3.3,LVCMOS33,,,gpio,MicroSD data3,Table 2-23
sdcard,sd_detect,G9,Input,3.3,LVCMOS33,,,gpio,MicroSD card detect,Table 2-23
ethernet0,eth0_rx_clk,F14,Input,3.3,LVCMOS33,,,gpio,RGMII0 receive clock,Table 2-9
ethernet0,eth0_rx_ctrl,F9,Input,3.3,LVCMOS33,,,gpio,RGMII0 receive control,Table 2-9
ethernet0,eth0_rxd[3],H13,Input,3.3,LVCMOS33,,,gpio,RGMII0 receive data3,Table 2-9
ethernet0,eth0_rxd[2],G13,Input,3.3,LVCMOS33,,,gpio,RGMII0 receive data2,Table 2-9
